message,category
I can't receive the verification email. I checked spam.,Technical
I want to know more about your return policy.,Other
Can I get a partial refund? The item was damaged.,Refund
I have feedback about your customer service.,Other
I need to verify my identity. What documents do you need?,Other
Can you explain the $108 fee on my last statement?,Billing
I need to change the delivery address for my order.,Shipping
When will my order ship? I placed it 50823 days ago.,Shipping
I need to update my payment method for my subscription.,Billing
The website is not loading on my browser.,Technical
How do I refer a friend to your service?,Other
Please process the refund for my returned item.,Refund
How long do refunds take to show up on my card?,Refund
I forgot my password. How do I reset it?,Technical
I need to change the delivery address for my order.,Shipping
I need to update my email address on file.,Other
I need to cancel my order before it ships.,Shipping
Can I get a certificate of purchase for my order?,Other
I was charged twice for my order #97530. Can you fix this?,Billing
Can I get a full refund? The product was defective.,Refund
I need to return this item. How do I get my money back?,Refund
The app won't let me upload my profile photo.,Technical
I need help with two-factor authentication setup.,Technical
I have feedback about your customer service.,Other
I can't log in to my account. It says password invalid.,Technical
I returned the item 2 weeks ago. Where is my refund?,Refund
The website is not loading on my browser.,Technical
The package arrived damaged. What do I do?,Shipping
I forgot my password. How do I reset it?,Technical
I need a refund to my original payment method.,Refund
I returned the item 2 weeks ago. Where is my refund?,Refund
I'd like to speak to a manager please.,Other
The app keeps crashing when I open the settings.,Technical
The mobile app is very slow after the last update.,Technical
Can you send me the terms and conditions?,Other
I never received my order. Please resend.,Shipping
I want to know more about your return policy.,Other
My refund was declined. Can you tell me why?,Refund
How do I change my account username?,Other
I want to delete my account. Where is the option?,Technical
I need to dispute a charge from 5.,Billing
Why was I charged $44? I didn't authorize this.,Billing
I need to cancel my order before it ships.,Shipping
The checkout button doesn't work on my phone.,Technical
Can I get a full refund? The product was defective.,Refund
The shipping address is wrong. Order #39427. Can you update it?,Shipping
I cancelled my order. When will I get the refund?,Refund
My session expires after 1 minute. Is that normal?,Technical
I get a 404 error when I click the link in your email.,Technical
The package arrived damaged. What do I do?,Shipping
I need to update my email address on file.,Other
The shipping address is wrong. Order #76674. Can you update it?,Shipping
I'd like to speak to a manager please.,Other
I want to cancel and get a refund before shipping.,Refund
Why am I being charged a monthly fee I didn't sign up for?,Billing
Where is my package? Tracking says delivered but I didn't get it.,Shipping
I need to verify my identity. What documents do you need?,Other
I never received a refund for my cancelled order.,Billing
My order hasn't arrived yet. It's been 2 weeks. Order #11328.,Shipping
I have a complaint I'd like to escalate.,Other
The shipping address is wrong. Order #37434. Can you update it?,Shipping
I need a refund to my original payment method.,Refund
My order hasn't arrived yet. It's been 2 weeks. Order #14238.,Shipping
When will my order ship? I placed it 35671 days ago.,Shipping
Can I get a tracking number for my shipment?,Shipping
I cancelled my order. When will I get the refund?,Refund
Where can I find your privacy policy?,Other
I forgot my password. How do I reset it?,Technical
I never received a refund for my cancelled order.,Billing
I was told I'd get a refund but it hasn't appeared.,Refund
My order was sent to the wrong city. Order #96647.,Shipping
My billing address is wrong. How do I change it?,Billing
I was charged twice for my order #56392. Can you fix this?,Billing
I have a general question about your services.,Other
What are your business hours for support?,Other
I want to cancel and get a refund before shipping.,Refund
The checkout button doesn't work on my phone.,Technical
The checkout button doesn't work on my phone.,Technical
I have a complaint I'd like to escalate.,Other
Why am I being charged a monthly fee I didn't sign up for?,Billing
My payment failed but the amount was deducted from my card.,Billing
